Comments,Rating
Last year I completed my content writing course from Henry Harvin Education.The management of Henry Harvin Education provided me a very good trainer and I got to learn a lot from there.I see a lot of reviews by Henry Harvin and all the reviews were very good reviews. I also want to give Henry Harvin a very good review.Thanks Henry Harvin for learning so much for me.,5
"I did a lot of research and see many reviews about Henry Harvin Education.Henry Harvin Education has received a lot of good reviews and I would like to give a very good review to them as well.Henry Harvin Education is a career growth organization that provides many courses and certification.Seeing the reviews of people, I did my course from Henry Harvin and I am very happy to do the course here.",5
"I am currently doing my content writing course at Henry Harvin. I started the content writing course at Henry Harvin only after I explored other alternatives. Every search on the internet always threw this institute at me. So I called them and got connected to Mr Sunny, the relationship manager. He did a fantastic job of explaining the course and its benefits. I even got recommendations from non-content writers to join Henry Harvin.

Fortunately, I got the most coveted trainer, ""Vandana Saxena"". Her knowledge, training skills, and delivery are impeccable. She clarifies every doubt without fail. Her vast experience and talent as a writer and a trainer not only makes the class enjoyable but is well worth every penny spent.

Henry Harvin carries a reputation and lives up to it. This curriculum is appropriate and aptly developed. The instructors focus on refining writing skills by giving assignments. One can repeat the classes multiple times and attend different batches with different trainers. They provide guaranteed internships to sharpen one's writing skills.

I recommend Henry Harvin content writing course to everyone who wants to be a better writer. For more please check Henry Harvin Content Writing Course Reviews.",5
"Dear All, while many have written good things about this institute, i did not have a good experience with it. I joined HenryHarvin for FICO course in Feb and despite paying full course fee upfront, I still dont have server access to practice. SAP is not a typical academic learning but an practical/experiential traning and without server practice anything you learn is waste because bookish learning does not work here. Henry's sales team is hyperactive boasting that its the best in the market, but it is light years from reality. At least I would never suggest this institute again to anyone with this experience.",1
"I was browsing about information related to improving writing skills, I came to know about Content Writing and its increasing scope these days. I choose Henry Harvin for pursuing Content Writing course as I found the course to be planned and structured. The 32 hours of extensive content writing course training gives the learners exposure to all essential aspects related to content like language skills, graphic skills, SEO, SEM, blogging, and many more things.

Once I made my decision I registered for the course. My relationship manager, Chandrika answered every possible query and apprehension I had regarding the course.

The course structure designed by Henry Harvin is simple and easily understood by a person like me who has no previous experience in the field of Content Writing. Our trainer Mrs. Vandana Saxena is not only a good faculty but also an experienced Content Writer who shared her valuable learnings with all the trainees. The recorded videos and all the study material were also helpful as they always helped me to refer back and have clarity about the doubts.


Henry Harvin also nurtures you as a Content Writer through its internship program. It also helps in Job placement. For more please check Henry Harvin content writing course reviews.
 Useful
 Share.",5
I have Joined Digital Marketing in Henry Harvin based on my friends reference. Trainer and the Lab Facility is excellent. Even though i am a fresher the faculty is making me understood all the concepts very indepth. Very good institute. The management is very friendly and always motivate us to practice more in the lab. I worked on Real time sample project from my Digital Marketing Faculty.,5
"I have attended Business analytics Course and so far I have been very satisfied. The best part of the Business analytics training is that this is mostly hands on. Henry Harvin also provides plenty of projects Scenarios, proof of concepts that are as close to real-time as they can be. Best Business analytics training online institute.
 Useful
 Share
Read 1 more review about Henry Harvin® Education- Rating 4.8/5
",5
"I have completed my Medical Writing course and get Certification from the Henry Harvin. I would like to recommend Henry Harvin to anyone who wants to be a master in Medical Writing course. Explanations are clean, clear, easy to understand and every question receives the right answer during the training. Thanks to Henry Harvin team for all the help and support.",5
"It was an awesome Robotic Process Automation course delivered by an extraordinary real-time trainer. Yes, I truly admire it and the knowledge, approach, and ideas. Excellent RPA certification course. The best online course I have attended, by far. The course was exactly what I was hoping for.
 Useful
 Share.
",4
"I did the online Digital Marketing course and was very impressed with the course, content and faculty feedback. The faculties were experienced, knowledgeable and passionate about what they were delivering. Communication with Henry Harvin digital marketing and with the weekly faculties was very quick and helpful. Feedback on the assignments was useful and helped me know what I needed to work on or study more.

I would not hesitate to book another online course with Henry Harvin.",4
I Joined Design Thinking course at Henry Harvin. The experience with Henry Harvin training content and trainer was good. My Trainer took care of all the basics and what is more amazing is his way of delivering. My Design Thinking Trainer makes sure that everyone gets their concepts clear before leaving the class. Highly Recommended.,4
"I'm having a unpleasant experience at Henry Harvin. All they care about is money. After fee payment, nobody listens to your grievances. No reply to mails or on whatsapp. Highly unprofessional and money minded. Extremely disappointed.",1
"Taken Design Thinking online Certification training. Good and affordable training in Delhi. More over Design Thinking trainer is real time professional, hence he provides the right knowledge and assistance. His commitment towards training are awesome. Thanks to Henry Harvin team.",4
"Hi,
my batch was 13th sep 2020. Henry Harvin is well known institute so i was bit worried about completion of my course.
What i was looking for is under one roof. my relationship manager Chandrika explained me very-well. then to i was worried about my trainer and batch mates?
But on first day of my course i got surprised of having a fabulous trainer Vandana ma'am. till last day of the  course,i didn't get exactly what she is? A trainer, A friend, A batch mate, A adviser, A famous witer...she plays with us very-well through out the course. A good teacher knew every child is special.firstly she took out our knowledge and then she show where we were right and where wrong?
I am a vernacular medium student then to i find everyone friendly.
I strongly recommend Henry harvin institute to my friends. For their service, Relationship manager, Trainer, LMS, convenient timings and most importantly value our time. How much they cover in a month it almost take a year or more time in college to get certified.
Thank You.
",4
"Being a person from the field of communications and marketing, i discovered that i only knew about digital content writing in bits and pieces till I enrolled for the course. There is a systematic process of brushing up on basics and learning the tips and tricks.
Applying Learnings
Knowledge never goes waste as long as you apply it in real life and one learn about this hands-on in this programme.
Application
Highly recommended for those who want to adapt to Writing and Communication in Digital times.
 Useful
 Share
",4
Henry Harvin offers an amazing 4 week TEFL course. The course in hands on with you teaching basically right off the bat! Very experienced and friendly teachers helped us through this intense course but the knowledge gained was worth it. One month out and I already found a full time teaching job. Henry Harvin the best Institute for TEFL course.,4
"I couldn’t speak more highly of my experience with Henry Harvin TEFL. I have been an ESL teacher for over five years, and came to this course just hoping to get a certificate and expand my job opportunities. I didn’t expect that I would be leaving with so much more than that.I am so appreciative of the expert help, support and feedback provided by the incredible teachers in this program.",5
Henry Harvin provides the best ESL certification course(TEFL) with a reasonable price. You are our problem-solver helping the job applicants as well as employees even in this current pandemic by turning the problems into opportunities.,5
Grateful for Henry Harvin as i get to experience a completely new way of unique TEFL certification course with such an affordable price.Beyond thankful for providing me the best support.,5
Best choice I ever made was when I took the 120 hours TEFL certification course from Henry Harvin. Everything was smooth and perfect☺👍.,5
"It is a great place to learn. The course provides quite an in-depth overview into the various aspects of Content Writing. Trainer was ready to clarify each and every doubt that we had. Great support provided throughout. Thank you .
",5
It was really a good and wonderful experience.The course was very good and well organised.The coaching here is planned in such a way that it avoids time wastage. I am very much thankful to Henry Harvin Academy.,5
"A big thanks to Henry Harvin for this opportunity..I came to know more about TEFL certification course and it helps me a lot to look forward to my future 🤗
 Useful
 Share
",5
"I am so grateful I was hired. This culture is so positive & caring. As soon as COVID-19 was getting serious, HenryHarvin was one of the first companies to implement a mandatory work-from-home policy.",5
"I am working again amidst this Pandemic, Thanks to Henry Harvin's pocket friendly TEFL course and employee grooming programs.

",5
"I went into this program just for the certificate in order to teach in spain and ended up learning new teaching techniques, new lesson plans and new approaches to teaching grammer
Overall this program is excellent",5
"Henry Harvin TEFL course is just what I needed to upgrade myself to be a teacher abroad . I learn many new skills and enjoyed a lot .
Trainers are thorough professionals here",4
"Great place to learn. Did TEFL certification from Henry Harvin, quick video, great training material, a lots of interview calls. I would like to appreciate Henry Harvin team.... Thanks a lot.
",4
"Henry harvin is one of the best TEFL provider I have come across. The content materials is excellent and quality of the trainers are very professional and available at anytime of your needs. Though there is a fees for the course but it is very affordable compare to other Tefl provider. A big thanks to Henry harvin I am enjoying now teaching foreign children's. Go for Henry harvin.
",5
Henry Harvin is the reason that I can continue my work even during the Covid-19 Pandemic. Thank you.,5
"I did six sigma course From Henry Harvin.
Excellent faculty, very responsive, project support, complete DMAIC phase in easy way. I would recommend it. Go for it...",5
"Any positive reviews you read are fake about Henry Harvin. This is a big scam. I have no idea if they really teach anything or not. Their website looks real but I doubt it is a real educational institution. Do not get involved with this. They are in India not San Francisco, and even though they have San Francisco phone number and address is it most likely fake.",1
‘Great place to learn content writing thoroughly’. Undoubtedly its the Henry Harwin institute of content writing. Let me take a moment to pen down and appreciate the Trainer. Instructor is exceptionally well in subject and knowledge. She is well versed in the topics which she trains on and spontaneously answers all the questions and doubts. I wish to complete my certification programme with great help from Henry Harwin institute.,5
"I have enrolled for Certified Digital Content Writer and the course modules, learnings and facilitator were awesome. Ms. Vandana Saxena is spectacular facilitator and her command on teaching was amazing.
Thank you Henry Harvin for designing such a wonderful course and it will be definitely beneficial in my professional career
 Useful
 Share
",5
"The training conducted by this institute for six sigma green belt certification was excellent and very informative . I would highly recommend this institute to fresher and experienced, whoever want to enhance their career, as it will develop confidence for project and interviews also. Best six sigma green belt training institute.",5
"I have done a six sigma course From Henry Harvin.
Faculty Very responsive and was willing to help me in any way they possibly could. I would recommend it.",5
"The certified gst practisioner course from henry harvin education was quite informative and covering all practical topics i had a good experience in delhi batch ,the trainer was very knowledgeable and experienced in gst background..i m very satisfied..four days are enough to cover all gst practical topics.it has definitely improve my knowledge",5
Henry Harvin is one of the best platform to do corporate courses. I really liked their way of teaching. And the LMS provided by them helped me a lot in revising my subject.,5
"I am right now pursuing content writing course from Henry Harvin Education and I'd say that it's a great centre for learning this. The trainers are very updated with the latest information on this particular field. The methodology used by them easy to grasp even for a person who comes from a non- technical background. So if you are looking for a course in content writing, Henry Harvin would be a great option. They are very responsive, supportive, up-to-date and a very well set agenda of each class and overall the course.
I had a dream of becoming a content writer and I think I have chosen the right path for making it come true.",5
"I found it very useful. Now I am very much confident that post doing a few more practice and research, I can land myself in the job of my dreams :)

Even I am willing to start my own blog because now I am pretty much skilled to increase the traffic on my website.

The another good aspect of this course is the- that they provide digital library, LMS. The course content here is well structured and we can even get all the recorded session at one place.

If anybody, looking forward to increase their interpersonal and professional skills, then I would like to recommend this course to them !

Moreover, the cherry on the cake is the HH consultants, these people are so cooperative, and they are so concerned about their brand and they do all the promises they make to their students. Grom sending jobs to internship opportunities they always stand apart.

Thank you guys",5
I attended Rohit’s six sigma green belt program in Delhi. I really loved the way he made us imagine every step and learn.,5
I attended the content writing course in Delhi. And had a great experience with their trainer Tulika,5
It's a crap course. Don't fall for their fake and false high promises. The whole course is time and money wastage. I wasted my precious time and money. They didn't give any internship or placement as they promise.,1
"If you guys are planning to take the online content writing course please don't. They will only be in touch with you while enrollment after the course they will just treat you like nobody. Specially for online students they will not provide you with you certificate even after a month and in between if you loose a job opportunity or two, it's no big deal. I feel bad for the trainer who was very good and had put out all her knowledge for the students. But the unprofessional attitude of the Henry Harwin's staff will get on your nerves gradually. And also, if you know the founder only then can you get a job placement from them otherwise they will keep sending you the same mail over and over again, the contacts in it never reply. I wasted my time and money with them.. you make sure you don't.",1
It was a nice learning experience. The six sigma course is highly appreciated and recommended for those who need a deeper knowledge on various aspects,4
"

There is some helpful information here but it is poorly written and full of errors. Both the questions and the answers had tons of mistakes. Furthermore, when I finished the course I electronically received a mock certificate that didn’t have my name on it. I used the identification number to validate the certificate through tefl.org and it was invalid.
 Useful
 Share
","1
"
"The course, by definition, does work, but is is marred by numerous typos, errors, and bad UX on their page.

On top of this, this lessons are skewed by pro-western statements, as if the guy is trying to push small minded propaganda through his classes. You see Biblical references, yet you get a good deal of his opinion on spanking, etc. The desperate guy should keep to teaching the lesson, period. When you have syntax typos for a lesson on grammar and punctuation, you know your time isn’t being spent properly. Typical, ignorant (and so, confident) American.

Why take lessons on international affairs from someone who will never truly experience the world because it’s always through his forced and skewed Western perspective? Just ugly.

Definitely not recommended.",2
"I paid 25000 for the course but the teaching pedagogy was so bad that I didn't even attend the complete course and asked for a refund. Of course, they never paid me back.

They changed the instructor on the last minute and the environment is not conducive to learning. They said you don't need a computer to learn analytics. Just watch the instructor doing it on screen and you will learn it!!

You end up sitting with other students and instructors who are incompetent and feel like you got cheated Don't go for it. Rather go for some nano degree online.
 Useful
 Share
",1
"I had an online course with Henry Harvin Education and my experiences with it are phenomenon. Before joining this course i was clueless about how to start my writing career, though I was very passionate about it. But now i am on the right track.This is just because of Henry Harvin Education. Thank you so much HHE for filling me up with dreams and motivations, showing the right path. Thanks to everyone in the institute who helped me out. I will always recommend this institute to everyone.",5
"Hi my name is anil kumar. I have attended the course of Content Writing course from Henry Harvin by Neha Singhal mam. The course of this module was excellent and by attending this i came to know all details of how to write an excellent content whether it may be for business content, academics content or digital content. i came to know about google analytics, alexa web ranking, canva software etc. which is of great importance. i recommend this course to all entrepreneurs and content writers.",5
financial course amazing at henry harvin and is very much recommended,3
Six Sigma green belt course is amazing and worth doing with great learning experience.,5
Six Sigma green belt course is amazing and knowledgeable and learning great experience.,5
Amazing services,5
The six Sigma Green Belt course at Henry Harvin education should be done by everyone and is really knowledgeable.,5
"Lean six Sigma course is perfect course.

Highly recommended",5
Henry harvin has got the best marketing analysis course out there,5
"Marketing Analysis course is the best educational course from Henry.
Best faculty under one roof",5
Henry harvin has the best teaching experience. Marketing analysis course is the best course from henry,5
"Marketing analytics course is so amazing.

It helps you getting real Practical knowledge.",5
"Marketing Analytics course from this organization is just wonderful . Got to learn so much. Business analytics course was fabulous.

Got to learn so much things from the faculty.",5
i attended a program on six sigma black belt training conducted by henry harvin and was very much satisfied by the training and the service provided by the company. I strongly recommend that if anyone is looking for six sigma black belt training & certification one should always go with henry harvin education.,5
